hit_into_play,2,2,-0.202,2.31,3.71,1.72
called_strike,0,0,-0.557,2.083,3.71,1.78
ball,0,1,-1.433,2.934,3.72,1.9
ball,1,1,0.01,1.668,3.72,1.95
hit_into_play_score,2,1,-0.891,2.982,3.71,1.74
ball,0,0,0.301,1.728,3.64,1.7
ball,1,0,-0.757,4.039,3.76,1.74
hit_into_play,2,0,-0.187,2.911,3.71,1.74
called_strike,0,0,0.051,3.395,3.89,1.9
swinging_strike,0,1,0.42,1.508,3.71,1.74
hit_into_play,0,2,0.279,1.713,3.71,1.74
ball,0,0,-0.841,4.021,3.76,1.82
hit_into_play_no_out,1,0,-1.07,3.428,3.71,1.74
hit_into_play,0,0,0.428,2.727,3.72,1.73
ball,0,0,-0.609,1.282,3.73,1.7
ball,1,0,0.021,4.063,3.72,1.73
foul_tip,2,0,-0.13,1.776,3.72,1.73
called_strike,2,1,-0.841,2.926,3.68,1.73
swinging_strike,2,2,0.118,2.676,3.72,1.73
ball,0,0,-0.886,0.882,3.68,1.73
swinging_strike,1,0,-0.013,1.935,3.72,1.73
ball,1,1,1.263,4.016,3.77,1.78
called_strike,2,1,-0.83,2.176,3.81,1.74
foul,2,2,-0.164,1.49,3.72,1.73
ball,2,2,-0.013,0.583,3.81,1.73
ball,0,0,0.663,-0.406,3.85,1.7
hit_into_play,1,0,0.273,3.052,3.72,1.73
called_strike,0,0,0.262,3.191,3.85,1.73
blocked_ball,0,1,-0.494,0.624,3.81,1.73
blocked_ball,1,1,-0.833,0.855,3.81,1.73
foul,2,1,-0.835,2.429,3.72,1.73
foul,2,2,1.226,2.666,3.72,1.73
foul,2,2,0.394,1.869,3.72,1.73
hit_into_play,2,2,-0.349,1.425,3.72,1.73
ball,0,0,-1.506,1.58,3.71,1.74
blocked_ball,1,0,-0.088,0.691,3.71,1.74
ball,2,0,-2.652,0.59,3.71,1.74
called_strike,3,0,-0.28,1.527,3.71,1.74
called_strike,3,1,-0.969,2.015,3.71,1.74
hit_into_play_score,3,2,-0.256,2.129,3.71,1.74
called_strike,0,0,-0.855,2.038,3.79,1.74
ball,0,1,-1.536,2.12,3.71,1.74
foul,1,1,-0.576,2.411,3.71,1.74
swinging_strike,1,2,-1.01,2.279,3.71,1.74
called_strike,0,0,0.752,2.837,3.78,1.74
ball,0,1,1.152,2.446,3.88,1.74
ball,1,1,-0.393,1.174,3.88,1.74
foul,2,1,0.273,2.694,3.71,1.74
called_strike,2,2,0.097,1.944,3.71,1.74
ball,0,0,0.769,0.927,3.71,1.74
ball,1,0,-0.529,0.611,3.75,1.74
ball,2,0,0.903,3.387,3.72,1.74
foul,3,0,0.614,2.013,3.71,1.74
swinging_strike,3,1,0.216,1.609,3.71,1.74
ball,3,2,1.291,1.53,3.71,1.74
